indicator_type,value,root_domain,campaign_member,submission_id,reported_url,first_observed_at_utc,registration_time_utc,last_changed_utc,registrar,registrar_iana_id,nameservers,historical_edge_a_at_submission,origin_ip_observed,authoritative_dns_snapshot_utc,authoritative_a_at_snapshot,public_dns_snapshot_utc,public_dns_a_at_snapshot,vhost_check_utc,vhost_status,vhost_title,vhost_disposition,rdap_status_at_capture,rdap_snapshot_utc
domain,shop.huuhanstudio.space,huuhanstudio.space,True,351387190816673794,https://shop.huuhanstudio.space/,2026-08-27T15:27:14Z,2026-08-27T08:20:21.125Z,2026-08-27T16:04:47.558Z,"HOSTINGER operations, UAB",1636,decker.ns.cloudflare.com;saanvi.ns.cloudflare.com,104.21.20.135;172.67.192.238,103.149.86.246,2026-09-01T04:17:17.767483+00:00,103.149.86.246,2026-09-01T04:16:38.233555+00:00,103.149.86.246,2026-09-01T03:46:56.711752+00:00,200,Welcome to nginx!,default nginx page,server hold;client transfer prohibited;client hold;add period,2026-09-01T03:43:31.383Z
domain,shop.sonhaimedia.sbs,sonhaimedia.sbs,True,351624943487684609,https://shop.sonhaimedia.sbs/,2026-08-28T07:11:59Z,2026-08-26T08:32:50.0Z,2026-08-31T08:37:14.0Z,"HOSTINGER operations, UAB",1636,decker.ns.cloudflare.com;saanvi.ns.cloudflare.com,,103.149.86.246,2026-09-01T04:17:17.767483+00:00,103.149.86.246,2026-09-01T04:16:38.233555+00:00,103.149.86.246,2026-09-01T03:46:57.170665+00:00,200,Welcome to nginx!,default nginx page,server transfer prohibited;client hold;client transfer prohibited,2026-09-01T03:43:32.0Z
domain,shop.dainammedia.space,dainammedia.space,True,352185586284498946,https://shop.dainammedia.space/,2026-08-29T20:19:47Z,2026-08-29T14:16:28.648Z,2026-08-29T20:40:42.429Z,"HOSTINGER operations, UAB",1636,decker.ns.cloudflare.com;saanvi.ns.cloudflare.com,104.21.73.31;172.67.157.55,103.149.86.246,2026-09-01T04:17:17.767483+00:00,103.149.86.246,2026-09-01T04:16:38.233555+00:00,103.149.86.246,2026-09-01T03:46:57.656244+00:00,200,Welcome to nginx!,default nginx page,client hold;server hold;client transfer prohibited;add period,2026-09-01T03:43:32.882Z
domain,napxu.hoanghaimedia.shop,hoanghaimedia.shop,True,352342673387950094,https://napxu.hoanghaimedia.shop/,2026-08-30T06:43:59Z,2026-08-30T05:07:45.0Z,2026-08-30T07:04:20.0Z,"HOSTINGER operations, UAB",1636,decker.ns.cloudflare.com;saanvi.ns.cloudflare.com,104.21.16.200;172.67.215.152,103.149.86.246,2026-09-01T04:17:17.767483+00:00,103.149.86.246,2026-09-01T04:16:38.233555+00:00,103.149.86.246,2026-09-01T03:46:58.118227+00:00,200,Welcome to nginx!,default nginx page,client hold;client transfer prohibited;add period,2026-09-01T03:43:34.0Z
domain,napxu.ko-media.art,ko-media.art,True,352730056440680448,https://napxu.ko-media.art/,2026-08-31T08:23:18Z,2026-08-31T07:11:30.0Z,2026-08-31T08:50:02.0Z,"HOSTINGER operations, UAB",1636,decker.ns.cloudflare.com;saanvi.ns.cloudflare.com,104.21.95.230;172.67.149.11,103.149.86.246,2026-09-01T04:17:17.767483+00:00,103.149.86.246,2026-09-01T04:16:38.233555+00:00,103.149.86.246,2026-09-01T03:46:58.582235+00:00,200,Welcome to nginx!,default nginx page,server transfer prohibited;client hold;client transfer prohibited;add period,2026-09-01T03:43:35.0Z
domain,shop.hd-media.space,hd-media.space,True,352784145123905536,https://shop.hd-media.space/,2026-08-31T11:58:14Z,2026-08-31T07:27:16.097Z,2026-08-31T12:46:50.602Z,"HOSTINGER operations, UAB",1636,decker.ns.cloudflare.com;saanvi.ns.cloudflare.com,104.21.57.218;172.67.167.13,103.149.86.246,2026-09-01T04:17:17.767483+00:00,103.149.86.246,2026-09-01T04:16:38.233555+00:00,103.149.86.246,2026-09-01T03:46:59.044629+00:00,200,Welcome to nginx!,default nginx page,client transfer prohibited;server hold;add period,2026-09-01T03:43:36.090Z
domain,napxu.quangthaimedia.shop,quangthaimedia.shop,True,352799328705712141,https://napxu.quangthaimedia.shop/,2026-08-31T12:58:34Z,2026-08-31T08:45:28.0Z,2026-08-31T08:47:18.0Z,"HOSTINGER operations, UAB",1636,decker.ns.cloudflare.com;saanvi.ns.cloudflare.com,172.67.173.115;104.21.55.220,103.149.86.246,2026-09-01T04:17:17.767483+00:00,103.149.86.246,2026-09-01T04:16:38.233555+00:00,103.149.86.246,2026-09-01T03:46:59.549281+00:00,200,Welcome to nginx!,default nginx page,client transfer prohibited;add period,2026-09-01T03:43:37.0Z
domain,napxu.quanghung-media.site,quanghung-media.site,True,352832125797404695,https://napxu.quanghung-media.site/,2026-08-31T15:08:54Z,2026-08-31T08:57:14.830Z,2026-08-31T15:46:43.211Z,"HOSTINGER operations, UAB",1636,decker.ns.cloudflare.com;saanvi.ns.cloudflare.com,172.67.129.180;104.21.2.212,,2026-09-01T04:17:17.767483+00:00,104.21.2.212;172.67.129.180,2026-09-01T04:16:38.233555+00:00,104.21.2.212;172.67.129.180,2026-09-01T03:47:00.014483+00:00,,,HTTP/service error or suspension response,server hold;client transfer prohibited;add period,2026-09-01T03:43:38.773Z
domain,napxu.hoanganhmedia.sbs,hoanganhmedia.sbs,True,352854759947898915,https://napxu.hoanganhmedia.sbs/,2026-08-31T16:38:50Z,2026-08-31T14:16:48.0Z,,"HOSTINGER operations, UAB",1636,decker.ns.cloudflare.com;saanvi.ns.cloudflare.com,188.114.97.3;188.114.96.3,103.149.86.246,2026-09-01T04:17:17.767483+00:00,103.149.86.246,2026-09-01T04:16:38.233555+00:00,103.149.86.246,2026-09-01T03:47:00.479854+00:00,200,Welcome to nginx!,default nginx page,server transfer prohibited;client transfer prohibited;add period,2026-09-01T03:43:39.0Z
domain,napxu.hungdungmedia.fun,hungdungmedia.fun,True,352880825026482223,https://napxu.hungdungmedia.fun/,2026-08-31T18:22:24Z,2026-08-31T14:26:14.609Z,2026-08-31T18:36:39.771Z,"HOSTINGER operations, UAB",1636,decker.ns.cloudflare.com;saanvi.ns.cloudflare.com,188.114.96.3;188.114.97.3,103.149.86.246,2026-09-01T04:17:17.767483+00:00,,2026-09-01T04:16:38.233555+00:00,104.21.80.154;172.67.151.86,2026-09-01T03:47:00.985706+00:00,200,Nạp xu TikTok,fake TikTok page still served,client hold;client transfer prohibited;server hold;add period,2026-09-01T04:19:03.616Z
domain,napthetiktok.online,napthetiktok.online,False,,https://www.napthetiktok.online/,,2026-07-12T15:58:57.160Z,2026-08-31T19:27:44.180Z,"Spaceship, Inc.",3862,decker.ns.cloudflare.com;saanvi.ns.cloudflare.com,,,,,,,,,,,client update prohibited;client hold;client transfer prohibited,2026-09-01T04:48:58.555Z
