indicator_type,value,root_domain,campaign_member,submission_id,reported_url,first_observed_at_utc,registration_time_utc,last_changed_utc,registrar,registrar_iana_id,nameservers,historical_edge_a_at_submission,origin_status,origin_ip,origin_server_id,origin_evidence_type,origin_evidence_time_utc,origin_caveat,authoritative_dns_snapshot_utc,authoritative_a_at_snapshot,public_dns_snapshot_utc,public_dns_a_at_snapshot,vhost_check_utc,vhost_status,vhost_title,vhost_disposition,rdap_status_at_capture,rdap_snapshot_utc,relationship,confidence,historical_only,exact_campaign_asset_match_count,urlscan_ids,historical_network,blocklist_disposition,evidence_ref,registration_context
domain,shop.huuhanstudio.space,huuhanstudio.space,True,351387190816673794,https://shop.huuhanstudio.space/,2026-08-27T15:27:14Z,2026-08-27T08:20:21.125Z,2026-08-27T16:04:47.558Z,"HOSTINGER operations, UAB",1636,decker.ns.cloudflare.com;saanvi.ns.cloudflare.com,104.21.20.135;172.67.192.238,authoritative_apex_association_only,103.149.86.246,origin-103-149-86-246,authoritative_root_apex_A_record,2026-09-01T04:17:17.767483Z,"The root domain apex A record returned 103.149.86.246. This is an address association, not a direct request proving the named subdomain served the phishing body at that moment.",2026-09-01T04:17:17.767483Z,103.149.86.246,2026-09-01T04:16:38.233555Z,103.149.86.246,2026-09-01T03:46:56.711752Z,200,Welcome to nginx!,default nginx page,server hold;client transfer prohibited;client hold;add period,2026-09-01T03:43:31.383Z,,,,,,,,,
domain,shop.sonhaimedia.sbs,sonhaimedia.sbs,True,351624943487684609,https://shop.sonhaimedia.sbs/,2026-08-28T07:11:59Z,2026-08-26T08:32:50.0Z,2026-08-31T08:37:14.0Z,"HOSTINGER operations, UAB",1636,decker.ns.cloudflare.com;saanvi.ns.cloudflare.com,,authoritative_apex_association_only,103.149.86.246,origin-103-149-86-246,authoritative_root_apex_A_record,2026-09-01T04:17:17.767483Z,"The root domain apex A record returned 103.149.86.246. This is an address association, not a direct request proving the named subdomain served the phishing body at that moment.",2026-09-01T04:17:17.767483Z,103.149.86.246,2026-09-01T04:16:38.233555Z,103.149.86.246,2026-09-01T03:46:57.170665Z,200,Welcome to nginx!,default nginx page,server transfer prohibited;client hold;client transfer prohibited,2026-09-01T03:43:32.0Z,,,,,,,,,
domain,shop.dainammedia.space,dainammedia.space,True,352185586284498946,https://shop.dainammedia.space/,2026-08-29T20:19:47Z,2026-08-29T14:16:28.648Z,2026-08-29T20:40:42.429Z,"HOSTINGER operations, UAB",1636,decker.ns.cloudflare.com;saanvi.ns.cloudflare.com,104.21.73.31;172.67.157.55,authoritative_apex_association_only,103.149.86.246,origin-103-149-86-246,authoritative_root_apex_A_record,2026-09-01T04:17:17.767483Z,"The root domain apex A record returned 103.149.86.246. This is an address association, not a direct request proving the named subdomain served the phishing body at that moment.",2026-09-01T04:17:17.767483Z,103.149.86.246,2026-09-01T04:16:38.233555Z,103.149.86.246,2026-09-01T03:46:57.656244Z,200,Welcome to nginx!,default nginx page,client hold;server hold;client transfer prohibited;add period,2026-09-01T03:43:32.882Z,,,,,,,,,
domain,napxu.hoanghaimedia.shop,hoanghaimedia.shop,True,352342673387950094,https://napxu.hoanghaimedia.shop/,2026-08-30T06:43:59Z,2026-08-30T05:07:45.0Z,2026-08-30T07:04:20.0Z,"HOSTINGER operations, UAB",1636,decker.ns.cloudflare.com;saanvi.ns.cloudflare.com,104.21.16.200;172.67.215.152,authoritative_apex_association_only,103.149.86.246,origin-103-149-86-246,authoritative_root_apex_A_record,2026-09-01T04:17:17.767483Z,"The root domain apex A record returned 103.149.86.246. This is an address association, not a direct request proving the named subdomain served the phishing body at that moment.",2026-09-01T04:17:17.767483Z,103.149.86.246,2026-09-01T04:16:38.233555Z,103.149.86.246,2026-09-01T03:46:58.118227Z,200,Welcome to nginx!,default nginx page,client hold;client transfer prohibited;add period,2026-09-01T03:43:34.0Z,,,,,,,,,
domain,napxu.ko-media.art,ko-media.art,True,352730056440680448,https://napxu.ko-media.art/,2026-08-31T08:23:18Z,2026-08-31T07:11:30.0Z,2026-08-31T08:50:02.0Z,"HOSTINGER operations, UAB",1636,decker.ns.cloudflare.com;saanvi.ns.cloudflare.com,104.21.95.230;172.67.149.11,authoritative_apex_association_only,103.149.86.246,origin-103-149-86-246,authoritative_root_apex_A_record,2026-09-01T04:17:17.767483Z,"The root domain apex A record returned 103.149.86.246. This is an address association, not a direct request proving the named subdomain served the phishing body at that moment.",2026-09-01T04:17:17.767483Z,103.149.86.246,2026-09-01T04:16:38.233555Z,103.149.86.246,2026-09-01T03:46:58.582235Z,200,Welcome to nginx!,default nginx page,server transfer prohibited;client hold;client transfer prohibited;add period,2026-09-01T03:43:35.0Z,,,,,,,,,
domain,shop.hd-media.space,hd-media.space,True,352784145123905536,https://shop.hd-media.space/,2026-08-31T11:58:14Z,2026-08-31T07:27:16.097Z,2026-08-31T12:46:50.602Z,"HOSTINGER operations, UAB",1636,decker.ns.cloudflare.com;saanvi.ns.cloudflare.com,104.21.57.218;172.67.167.13,authoritative_apex_association_only,103.149.86.246,origin-103-149-86-246,authoritative_root_apex_A_record,2026-09-01T04:17:17.767483Z,"The root domain apex A record returned 103.149.86.246. This is an address association, not a direct request proving the named subdomain served the phishing body at that moment.",2026-09-01T04:17:17.767483Z,103.149.86.246,2026-09-01T04:16:38.233555Z,103.149.86.246,2026-09-01T03:46:59.044629Z,200,Welcome to nginx!,default nginx page,client transfer prohibited;server hold;add period,2026-09-01T03:43:36.090Z,,,,,,,,,
domain,napxu.quangthaimedia.shop,quangthaimedia.shop,True,352799328705712141,https://napxu.quangthaimedia.shop/,2026-08-31T12:58:34Z,2026-08-31T08:45:28.0Z,2026-08-31T08:47:18.0Z,"HOSTINGER operations, UAB",1636,decker.ns.cloudflare.com;saanvi.ns.cloudflare.com,172.67.173.115;104.21.55.220,authoritative_apex_association_only,103.149.86.246,origin-103-149-86-246,authoritative_root_apex_A_record,2026-09-01T04:17:17.767483Z,"The root domain apex A record returned 103.149.86.246. This is an address association, not a direct request proving the named subdomain served the phishing body at that moment.",2026-09-01T04:17:17.767483Z,103.149.86.246,2026-09-01T04:16:38.233555Z,103.149.86.246,2026-09-01T03:46:59.549281Z,200,Welcome to nginx!,default nginx page,client transfer prohibited;add period,2026-09-01T03:43:37.0Z,,,,,,,,,
domain,napxu.quanghung-media.site,quanghung-media.site,True,352832125797404695,https://napxu.quanghung-media.site/,2026-08-31T15:08:54Z,2026-08-31T08:57:14.830Z,2026-08-31T15:46:43.211Z,"HOSTINGER operations, UAB",1636,decker.ns.cloudflare.com;saanvi.ns.cloudflare.com,172.67.129.180;104.21.2.212,origin_unknown_cloudflare_or_removed,,,no_confirmed_origin,2026-09-01T04:17:17.767483Z,Observed addresses are Cloudflare edge/proxy values or no answer; they are deliberately not listed as origins. No direct origin evidence was recovered for this host.,2026-09-01T04:17:17.767483Z,104.21.2.212;172.67.129.180,2026-09-01T04:16:38.233555Z,104.21.2.212;172.67.129.180,2026-09-01T03:47:00.014483Z,,,HTTP/service error or suspension response,server hold;client transfer prohibited;add period,2026-09-01T03:43:38.773Z,,,,,,,,,
domain,napxu.hoanganhmedia.sbs,hoanganhmedia.sbs,True,352854759947898915,https://napxu.hoanganhmedia.sbs/,2026-08-31T16:38:50Z,2026-08-31T14:16:48.0Z,,"HOSTINGER operations, UAB",1636,decker.ns.cloudflare.com;saanvi.ns.cloudflare.com,188.114.97.3;188.114.96.3,authoritative_apex_association_only,103.149.86.246,origin-103-149-86-246,authoritative_root_apex_A_record,2026-09-01T04:17:17.767483Z,"The root domain apex A record returned 103.149.86.246. This is an address association, not a direct request proving the named subdomain served the phishing body at that moment.",2026-09-01T04:17:17.767483Z,103.149.86.246,2026-09-01T04:16:38.233555Z,103.149.86.246,2026-09-01T03:47:00.479854Z,200,Welcome to nginx!,default nginx page,server transfer prohibited;client transfer prohibited;add period,2026-09-01T03:43:39.0Z,,,,,,,,,
domain,napxu.hungdungmedia.fun,hungdungmedia.fun,True,352880825026482223,https://napxu.hungdungmedia.fun/,2026-08-31T18:22:24Z,2026-08-31T14:26:14.609Z,2026-08-31T18:36:39.771Z,"HOSTINGER operations, UAB",1636,decker.ns.cloudflare.com;saanvi.ns.cloudflare.com,188.114.96.3;188.114.97.3,confirmed_direct_vhost,103.149.86.246,origin-103-149-86-246,direct_http_host_header,2026-09-01T04:18:16Z,Direct HTTP request to 103.149.86.246:80 with this Host header returned the fake recharge page (HTTP 200).,2026-09-01T04:17:17.767483Z,,2026-09-01T04:16:38.233555Z,104.21.80.154;172.67.151.86,2026-09-01T03:47:00.985706Z,200,Nạp xu TikTok,fake TikTok page still served,client hold;client transfer prohibited;server hold;add period,2026-09-01T04:19:03.616Z,,,,,,,,,
