row_type,server_id,campaign_host,root_domain,origin_status,origin_ip,role_or_evidence_type,observed_at_utc,service_or_vhost,server_hoster_status,network_holder,asn,prefix,formal_abuse_contact,technical_admin_contact,confidence,evidence_refs,caveat
campaign_host,origin-103-149-86-246,napxu.thuytongstore.fun,thuytongstore.fun,authoritative_apex_association_only,103.149.86.246,authoritative_root_apex_A_record,2026-09-01T04:17:17.767483Z,200 Welcome to nginx!,not established; listed entity is RIR allocation/route registrant only,4S TECHNOLOGY TRADING SERVICES COMPANY LIMITED,AS149125,103.149.86.0/23,hm-changed@vnnic.vn,info@congnghe4s.com,medium,investigation/tiktok/campaign_iocs.json; investigation/tiktok/dns_snapshot_rdap_ns.json; investigation/tiktok/vhost_checks.jsonl,"The root domain apex A record returned 103.149.86.246. This is an address association, not a direct request proving the named subdomain served the phishing body at that moment."
campaign_host,origin-103-149-86-246,shop-xu.kimsonmedia.sbs,kimsonmedia.sbs,authoritative_apex_association_only,103.149.86.246,authoritative_root_apex_A_record,2026-09-01T04:17:17.767483Z,200 Welcome to nginx!,not established; listed entity is RIR allocation/route registrant only,4S TECHNOLOGY TRADING SERVICES COMPANY LIMITED,AS149125,103.149.86.0/23,hm-changed@vnnic.vn,info@congnghe4s.com,medium,investigation/tiktok/campaign_iocs.json; investigation/tiktok/dns_snapshot_rdap_ns.json; investigation/tiktok/vhost_checks.jsonl,"The root domain apex A record returned 103.149.86.246. This is an address association, not a direct request proving the named subdomain served the phishing body at that moment."
campaign_host,origin-103-149-86-246,shop.huuhanstudio.space,huuhanstudio.space,authoritative_apex_association_only,103.149.86.246,authoritative_root_apex_A_record,2026-09-01T04:17:17.767483Z,200 Welcome to nginx!,not established; listed entity is RIR allocation/route registrant only,4S TECHNOLOGY TRADING SERVICES COMPANY LIMITED,AS149125,103.149.86.0/23,hm-changed@vnnic.vn,info@congnghe4s.com,medium,investigation/tiktok/campaign_iocs.json; investigation/tiktok/dns_snapshot_rdap_ns.json; investigation/tiktok/vhost_checks.jsonl,"The root domain apex A record returned 103.149.86.246. This is an address association, not a direct request proving the named subdomain served the phishing body at that moment."
campaign_host,origin-103-149-86-246,shop.sonhaimedia.sbs,sonhaimedia.sbs,authoritative_apex_association_only,103.149.86.246,authoritative_root_apex_A_record,2026-09-01T04:17:17.767483Z,200 Welcome to nginx!,not established; listed entity is RIR allocation/route registrant only,4S TECHNOLOGY TRADING SERVICES COMPANY LIMITED,AS149125,103.149.86.0/23,hm-changed@vnnic.vn,info@congnghe4s.com,medium,investigation/tiktok/campaign_iocs.json; investigation/tiktok/dns_snapshot_rdap_ns.json; investigation/tiktok/vhost_checks.jsonl,"The root domain apex A record returned 103.149.86.246. This is an address association, not a direct request proving the named subdomain served the phishing body at that moment."
campaign_host,origin-103-149-86-246,shop.dainammedia.space,dainammedia.space,authoritative_apex_association_only,103.149.86.246,authoritative_root_apex_A_record,2026-09-01T04:17:17.767483Z,200 Welcome to nginx!,not established; listed entity is RIR allocation/route registrant only,4S TECHNOLOGY TRADING SERVICES COMPANY LIMITED,AS149125,103.149.86.0/23,hm-changed@vnnic.vn,info@congnghe4s.com,medium,investigation/tiktok/campaign_iocs.json; investigation/tiktok/dns_snapshot_rdap_ns.json; investigation/tiktok/vhost_checks.jsonl,"The root domain apex A record returned 103.149.86.246. This is an address association, not a direct request proving the named subdomain served the phishing body at that moment."
campaign_host,origin-103-149-86-246,napxu.hoanghaimedia.shop,hoanghaimedia.shop,authoritative_apex_association_only,103.149.86.246,authoritative_root_apex_A_record,2026-09-01T04:17:17.767483Z,200 Welcome to nginx!,not established; listed entity is RIR allocation/route registrant only,4S TECHNOLOGY TRADING SERVICES COMPANY LIMITED,AS149125,103.149.86.0/23,hm-changed@vnnic.vn,info@congnghe4s.com,medium,investigation/tiktok/campaign_iocs.json; investigation/tiktok/dns_snapshot_rdap_ns.json; investigation/tiktok/vhost_checks.jsonl,"The root domain apex A record returned 103.149.86.246. This is an address association, not a direct request proving the named subdomain served the phishing body at that moment."
campaign_host,origin-103-149-86-246,napxu.ko-media.art,ko-media.art,authoritative_apex_association_only,103.149.86.246,authoritative_root_apex_A_record,2026-09-01T04:17:17.767483Z,200 Welcome to nginx!,not established; listed entity is RIR allocation/route registrant only,4S TECHNOLOGY TRADING SERVICES COMPANY LIMITED,AS149125,103.149.86.0/23,hm-changed@vnnic.vn,info@congnghe4s.com,medium,investigation/tiktok/campaign_iocs.json; investigation/tiktok/dns_snapshot_rdap_ns.json; investigation/tiktok/vhost_checks.jsonl,"The root domain apex A record returned 103.149.86.246. This is an address association, not a direct request proving the named subdomain served the phishing body at that moment."
campaign_host,origin-103-149-86-246,shop.hd-media.space,hd-media.space,authoritative_apex_association_only,103.149.86.246,authoritative_root_apex_A_record,2026-09-01T04:17:17.767483Z,200 Welcome to nginx!,not established; listed entity is RIR allocation/route registrant only,4S TECHNOLOGY TRADING SERVICES COMPANY LIMITED,AS149125,103.149.86.0/23,hm-changed@vnnic.vn,info@congnghe4s.com,medium,investigation/tiktok/campaign_iocs.json; investigation/tiktok/dns_snapshot_rdap_ns.json; investigation/tiktok/vhost_checks.jsonl,"The root domain apex A record returned 103.149.86.246. This is an address association, not a direct request proving the named subdomain served the phishing body at that moment."
campaign_host,origin-103-149-86-246,napxu.quangthaimedia.shop,quangthaimedia.shop,authoritative_apex_association_only,103.149.86.246,authoritative_root_apex_A_record,2026-09-01T04:17:17.767483Z,200 Welcome to nginx!,not established; listed entity is RIR allocation/route registrant only,4S TECHNOLOGY TRADING SERVICES COMPANY LIMITED,AS149125,103.149.86.0/23,hm-changed@vnnic.vn,info@congnghe4s.com,medium,investigation/tiktok/campaign_iocs.json; investigation/tiktok/dns_snapshot_rdap_ns.json; investigation/tiktok/vhost_checks.jsonl,"The root domain apex A record returned 103.149.86.246. This is an address association, not a direct request proving the named subdomain served the phishing body at that moment."
campaign_host,,napxu.quanghung-media.site,quanghung-media.site,origin_unknown_cloudflare_or_removed,,no_confirmed_origin,2026-09-01T04:17:17.767483Z,None HTTP/service error or suspension response,not established; no origin IP,,,,,,not established,investigation/tiktok/campaign_iocs.json; investigation/tiktok/dns_snapshot_rdap_ns.json; investigation/tiktok/vhost_checks.jsonl,Observed addresses are Cloudflare edge/proxy values or no answer; they are deliberately not listed as origins. No direct origin evidence was recovered for this host.
campaign_host,origin-103-149-86-246,napxu.hoanganhmedia.sbs,hoanganhmedia.sbs,authoritative_apex_association_only,103.149.86.246,authoritative_root_apex_A_record,2026-09-01T04:17:17.767483Z,200 Welcome to nginx!,not established; listed entity is RIR allocation/route registrant only,4S TECHNOLOGY TRADING SERVICES COMPANY LIMITED,AS149125,103.149.86.0/23,hm-changed@vnnic.vn,info@congnghe4s.com,medium,investigation/tiktok/campaign_iocs.json; investigation/tiktok/dns_snapshot_rdap_ns.json; investigation/tiktok/vhost_checks.jsonl,"The root domain apex A record returned 103.149.86.246. This is an address association, not a direct request proving the named subdomain served the phishing body at that moment."
campaign_host,origin-103-149-86-246,napxu.hungdungmedia.fun,hungdungmedia.fun,confirmed_direct_vhost,103.149.86.246,direct_http_host_header,2026-09-01T04:18:16Z,200 Nạp xu TikTok,not established; listed entity is RIR allocation/route registrant only,4S TECHNOLOGY TRADING SERVICES COMPANY LIMITED,AS149125,103.149.86.0/23,hm-changed@vnnic.vn,info@congnghe4s.com,high,investigation/tiktok/campaign_iocs.json; investigation/tiktok/dns_snapshot_rdap_ns.json; investigation/tiktok/vhost_checks.jsonl,Direct HTTP request to 103.149.86.246:80 with this Host header returned the fake recharge page (HTTP 200).
